timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603411710305,295,Access Login-1,200,OK,Checkout 2-1,text,true,,20338,630,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,217,0,0
1603411710541,368,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,25302,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,278,0,0
1603411712031,472,Logout ,200,OK,Logged User Choose product 1-1,text,true,,19053,1281,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/logout,157,0,0
1603411712031,157,Logout -0,302,Found,Logged User Choose product 1-1,text,true,,378,650,1,2,http://172.23.176.132/opencart/upload/index.php?route=account%2Flogout&product=no_match,157,0,0
1603411712188,315,Logout -1,200,OK,Logged User Choose product 1-1,text,true,,18675,631,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/logout,224,0,0
1603411714265,316,Continue logout,200,OK,Logged User Choose product 1-1,text,true,,18696,650,1,2,http://172.23.176.132/opencart/upload/index.php?route=account%2Flogout&product=no_match,227,0,0
1603411715673,239,Enter credentials,302,Found,Checkout 2-1,text,false,Response was null,380,1146,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,239,0,96
1603411715673,239,Enter credentials-0,302,Found,Checkout 2-1,text,true,,380,1146,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,239,0,96
1603411716806,316,Succesful login,200,OK,Checkout 2-1,text,true,,20359,699,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account&route=account%2Faccount&product=no_match,227,0,0
1603411717550,331,Access HomePage,200,OK,Checkout 2-1,text,true,,23772,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,242,0,0
1603411718023,331,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23414,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,242,0,0
1603411718931,476,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23643,589,1,2,http://172.23.176.132/opencart/upload/index.php?route=common/home&route=common/home&product=no_match,373,0,107
1603411720582,380,Access Login,200,OK,Logged User Choose product 1-1,text,true,,19862,665,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login&route=account/login&product=no_match,275,0,0
1603411720684,497,Access product category,200,OK,Checkout 2-1,text,true,,40289,658,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fcategory&path=20&product=no_match,290,0,0
1603411725298,515,Enter credentials,200,OK,Logged User Choose product 1-1,text,true,,20717,1840,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,162,0,0
1603411725298,162,Enter credentials-0,302,Found,Logged User Choose product 1-1,text,true,,379,1151,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,162,0,0
1603411725461,352,Enter credentials-1,200,OK,Logged User Choose product 1-1,text,true,,20338,689,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,250,0,0
1603411726152,347,Access product,200,OK,Checkout 2-1,text,true,,31358,687,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fproduct&path=20&product_id=40&product=no_match,281,0,63
1603411726661,342,Succesful login,200,OK,Logged User Choose product 1-1,text,true,,20359,699,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account&route=account%2Faccount&product=no_match,236,0,0
1603411727322,362,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23772,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,257,0,0
1603411729306,153,Adding to Shopping Cart,200,OK,Checkout 2-1,text,true,,589,733,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/cart/add,153,0,0
1603411730115,161,Acces Shopping Cart,200,OK,Checkout 2-1,text,true,,2550,572,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fcart%2Finfo&product=no_match,161,0,0
1603411730647,506,Access product category,200,OK,Logged User Choose product 1-1,text,true,,42174,658,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fcategory&path=33&product=no_match,294,0,0
1603411731176,365,Checkout,200,OK,Checkout 2-1,text,true,,53734,654,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fcheckout&product=no_match,237,0,0
1603411732180,207,Checkout Payment Address,200,OK,Checkout 2-1,text,true,,30456,556,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fpayment_address&product=no_match,144,0,0
1603411733912,127,Checkout country,200,OK,Checkout 2-1,text,true,,9678,598,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fcheckout%2Fcountry&country_id=222&product=no_match,117,0,0
1603411736109,385,Access product,200,OK,Logged User Choose product 1-1,text,true,,29552,688,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fproduct&path=33&product_id=203&product=no_match,306,0,79
1603411738694,173,Adding to Shopping Cart,200,OK,Logged User Choose product 1-1,text,true,,595,734,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/cart/add,173,0,0
